LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
129821 CHEMBL81286_entry_00001_conf_01,-76.2922,-58.2922,-2.93431,-25.7527,-0.211662,-10.7201,-19.6767,-3.05169,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_02,-75.4145,-57.4145,-2.90056,-25.4564,-0.209227,-10.5968,-19.3804,-3.01658,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_03,-73.8768,-55.8768,-2.84142,-24.9374,-0.204961,-10.3808,-18.8614,-2.84142,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_04,-72.8001,-54.8001,-2.8,-24.5739,-0.201973,-10.2295,-18.4979,-2.6963,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_05,-72.5204,-54.5204,-2.78925,-24.4795,-0.201197,-10.1902,-18.4035,-2.68594,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_06,-72.1158,-54.1158,-2.77369,-24.3429,-0.200075,-10.1333,-18.267,-3.13547,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_07,-71.2957,-53.2957,-2.74214,-24.0661,-0.1978,-10.0181,-17.9901,-2.85183,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_08,-71.0404,-53.0404,-2.73232,-23.9799,-0.197091,-9.98219,-17.9039,-3.08871,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_09,-71.0301,-53.0301,-2.73193,-23.9764,-0.197063,-9.98074,-17.9005,-2.8412,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_10,-70.5601,-52.5601,-2.71385,-23.8178,-0.195759,-9.9147,-17.7418,-2.8224,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_11,-70.5226,-52.5226,-2.71241,-23.8051,-0.195655,-9.90944,-17.7292,-2.71241,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_12,-69.7661,-51.7661,-2.68331,-23.5498,-0.193556,-9.80315,-17.4738,-2.79065,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_13,-69.5254,-51.5254,-2.67405,-23.4685,-0.192888,-9.76931,-17.3926,-2.89689,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_14,-69.1209,-51.1209,-2.6585,-23.332,-0.191766,-9.71249,-17.256,-2.6585,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_15,-68.9142,-50.9142,-2.65054,-23.2622,-0.191192,-9.68343,-17.1862,-2.75657,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_16,-68.7019,-50.7019,-2.64238,-23.1905,-0.190604,-9.6536,-17.1146,-2.74808,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_17,-68.6829,-50.6829,-2.64165,-23.1841,-0.190551,-9.65094,-17.1082,-2.64165,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_18,-68.0779,-50.0779,-2.61838,-22.9799,-0.188872,-9.56592,-16.9039,-2.72311,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_19,-67.746,-49.746,-2.60562,-22.8679,-0.187952,-9.51929,-16.7919,-2.50911,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_20,-67.5792,-49.5792,-2.5992,-22.8116,-0.187489,-9.49585,-16.7356,-2.5992,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_21,-66.7027,-48.7027,-2.56549,-22.5157,-0.185057,-9.37269,-16.4398,-2.66811,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_22,-66.5082,-48.5082,-2.55801,-22.4501,-0.184517,-9.34536,-16.3741,-3.0231,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_23,-66.0336,-48.0336,-2.53975,-22.2899,-0.183201,-9.27867,-16.2139,-2.53975,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_24,-65.5621,-47.5621,-2.52162,-22.1307,-0.181893,-9.21242,-16.0547,-2.73176,2441357,10.0409
129821 CHEMBL81286_entry_00001_conf_25,-65.4155,-47.4155,-2.51598,-22.0812,-0.181486,-9.19182,-16.0053,-2.25571,2441357,10.0409
