129821_CHEMBL81286_01 0.333 0.269 0.308 0.048 -0.151 -0.059
129821_CHEMBL81286_02 0.350 0.280 0.269 0.074 -0.125 -0.151
129821_CHEMBL81286_03 0.412 0.318 0.364 0.175 -0.024 0.086
129821_CHEMBL81286_04 0.353 0.273 0.261 0.045 -0.125 -0.147
129821_CHEMBL81286_05 0.375 0.286 0.273 0.091 -0.080 -0.102
129821_CHEMBL81286_06 0.333 0.318 0.250 0.007 -0.024 -0.186
129821_CHEMBL81286_07 0.389 0.304 0.348 0.136 -0.062 0.042
129821_CHEMBL81286_08 0.412 0.318 0.304 0.175 -0.024 -0.050
129821_CHEMBL81286_09 0.389 0.304 0.348 0.136 -0.062 0.042
129821_CHEMBL81286_10 0.389 0.304 0.348 0.136 -0.062 0.042
129821_CHEMBL81286_11 0.412 0.261 0.250 0.175 -0.163 -0.186
129821_CHEMBL81286_12 0.368 0.292 0.333 0.103 -0.096 0.004
129821_CHEMBL81286_13 0.389 0.304 0.348 0.136 -0.062 0.042
129821_CHEMBL81286_14 0.438 0.273 0.318 0.220 -0.125 -0.005
129821_CHEMBL81286_15 0.263 0.208 0.250 -0.161 -0.303 -0.186
129821_CHEMBL81286_16 0.368 0.292 0.333 0.103 -0.096 0.004
129821_CHEMBL81286_17 0.438 0.273 0.261 0.220 -0.125 -0.147
129821_CHEMBL81286_18 0.429 0.250 0.238 0.212 -0.132 -0.150
129821_CHEMBL81286_19 0.444 0.292 0.280 0.261 -0.096 -0.122
129821_CHEMBL81286_20 0.400 0.238 0.286 0.145 -0.188 -0.047
129821_CHEMBL81286_21 0.333 0.318 0.250 0.007 -0.024 -0.186
129821_CHEMBL81286_22 0.467 0.286 0.273 0.273 -0.080 -0.102
129821_CHEMBL81286_23 0.400 0.238 0.286 0.145 -0.188 -0.047
129821_CHEMBL81286_24 0.056 0.043 0.087 -0.784 -0.812 -0.632
129821_CHEMBL81286_25 0.095 0.217 0.160 -0.652 -0.271 -0.431
