129821_1         -6.9      0000000100000000000000000000100000010010000000000000000000000001000000n000000000000010000001000000000000000000000000000000100000000010000000000100000000000001000
129821_2         -6.8      0000000000000000000000000000000000010000000000000101000000000001000000n000000000000000000001000000000000000001010000000000100000000010000000000000000000000001000
129821_3         -6.6      0000000000000000000000000000100000110000000000000101000000000001000000n000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
129821_4         -6.4      0000000000000000000000000000100010000000000000000000000000000001000000n000000000000000000001000000000000000000010000101000000000000000000000000000000000000000000
129821_5         -6.2      0000000000000000000000000000100000010000000000000101000000000001000000n000000000000000000001000000000000000000000000000000000000001010000000000100000000000001000
129821_6         -6.1      0000000000000000000000000000100000010000000000000101000010000001000000n000000000000000000001000000000000000000010000000000000000001010000000000000000000001000000
129821_7         -6.0      0000000000000000000000000000000000010000000000000100000000000001000000n000000000000000000001000000000000000001010000001000000000000000000000000000000000000000000
129821_8         -6.0      0000000000000000000000001000100010110010000000000101000000000001000000n000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
129821_9         -5.9      0000000000000000000000000000100000010000000000000101000000000000000000n000000000000000000001000000000000000000000000000000000010000000000000000000010000000000000
129821_10        -5.7      0000000000000000000000000000000000010000000000000100000000000001000000n000000000000000000001000000000000000000000000101000000000000000000000000000000000000000000
129821_11        -5.5      0000000000000000000000000000100000010010000000000101000000000001000000n000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000
129821_12        -5.5      0000000000000000000000000000100000110000000000000101000000000001000000n000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000
129821_13        -5.1      0000000000000000000000000000000000010000000000000100000000000001000000n000000000000000000001000000000000000000000000101000000000000000000000000000000000000000000
129821_14        -5.1      0000000100000000000000000000100010110000000000000101000010000001000000n000000000000010000000000000000000000000001000000000000000000000000000000000000000001000000
129821_15        -4.9      0000000100000000000000000000000000010010000000000101000000000001000000n000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000
129821_16        -4.7      0000000000000000000000000000100000010000000000000110000000000001000000n000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
129821_17        -4.6      0000000100000000000000000000100010110000000000000110000000000001000000n000000000000010000001000000000000000000001000000000000000000000000000000000000000000000000
129821_18        -4.4      0000000000000000000000001000000010100010000000000000000000000001000000n000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000
129821_19        -4.2      0000000000000000000000000000100000100000000000000000000000000001000000n000000000000000000001000000000000000000000000001000100010000000000000000000000000000000000
129821_20        -3.7      0000000000000000000000000000000010100000000000000000000000000001000000n000000000000000000001000000000000000000000000000000100000000000000000000000000000000000000
