LIGAND_ENTRY,TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,EVAL,TIME
247120 CHEMBL344548_entry_00001_conf_01,-68.2062,-52.2062,-2.84193,-23.6458,-0.198626,-9.74006,-18.0989,-2.27354,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_02,-67.68,-51.68,-2.82,-23.4633,-0.197094,-9.66491,-17.9165,-2.33379,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_03,-67.4846,-51.4846,-2.81186,-23.3956,-0.196525,-9.637,-17.8487,-2.32705,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_04,-63.3471,-47.3471,-2.63946,-21.9612,-0.184476,-9.04617,-16.4143,-2.2624,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_05,-61.0237,-45.0237,-2.54265,-21.1557,-0.17771,-8.71437,-15.6088,-2.44095,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_06,-59.514,-43.514,-2.47975,-20.6323,-0.173313,-8.49878,-15.0854,-2.20422,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_07,-59.4111,-43.4111,-2.47546,-20.5967,-0.173013,-8.48408,-15.0498,-2.04866,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_08,-58.0618,-42.0618,-2.41924,-20.1289,-0.169084,-8.2914,-14.582,-2.00213,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_09,-56.9699,-40.9699,-2.37375,-19.7504,-0.165904,-8.13547,-14.2035,-2.2788,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_10,-55.9988,-39.9988,-2.33328,-19.4137,-0.163077,-7.9968,-13.8668,-2.07403,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_11,-55.7411,-39.7411,-2.32255,-19.3244,-0.162326,-7.96001,-13.7775,-2.14389,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_12,-55.3653,-39.3653,-2.30689,-19.1941,-0.161232,-7.90634,-13.6472,-2.30689,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_13,-55.2852,-39.2852,-2.30355,-19.1663,-0.160998,-7.89489,-13.6194,-2.12635,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_14,-54.9363,-38.9363,-2.28901,-19.0453,-0.159982,-7.84507,-13.4985,-1.96201,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_15,-54.8048,-38.8048,-2.28353,-18.9998,-0.159599,-7.8263,-13.4529,-2.10788,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_16,-54.6642,-38.6642,-2.27768,-18.951,-0.15919,-7.80622,-13.4041,-2.10247,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_17,-54.5366,-38.5366,-2.27236,-18.9068,-0.158818,-7.788,-13.3599,-1.94774,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_18,-54.4137,-38.4137,-2.26724,-18.8642,-0.15846,-7.77045,-13.3173,-2.17655,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_19,-53.4518,-37.4518,-2.22716,-18.5307,-0.155659,-7.63308,-12.9838,-2.05584,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_20,-53.3528,-37.3528,-2.22303,-18.4964,-0.155371,-7.61894,-12.9495,-1.97603,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_21,-53.2398,-37.2398,-2.21833,-18.4572,-0.155042,-7.60281,-12.9103,-2.12959,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_22,-53.2035,-37.2035,-2.21681,-18.4446,-0.154936,-7.59762,-12.8977,-1.90012,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_23,-53.1419,-37.1419,-2.21425,-18.4233,-0.154757,-7.58883,-12.8764,-2.12568,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_24,-53.0003,-37.0003,-2.20835,-18.3742,-0.154344,-7.5686,-12.8273,-1.89287,1898221,8.31758
247120 CHEMBL344548_entry_00001_conf_25,-52.9754,-36.9754,-2.20731,-18.3655,-0.154272,-7.56504,-12.8186,-2.03751,1898221,8.31758
