TOTAL_SCORE,SCORE_RB_PEN,SCORE_NORM_HEVATOMS,SCORE_NORM_CRT_HEVATOMS,SCORE_NORM_WEIGHT,SCORE_NORM_CRT_WEIGHT,SCORE_RB_PEN_NORM_CRT_HEVATOMS,SCORE_NORM_CONTACT,PLPtotal,PLPparthbond,PLPpartsteric,PLPpartmetal,PLPpartrepulsive,PLPpartburpolar,LIG_NUM_CLASH,LIG_NUM_CONTACT,LIG_NUM_NO_CONTACT,CHEMpartmetal,CHEMparthbond,CHEMparthbondCHO,DON,ACC,UNUSED_DON,UNUSED_ACC,CHEMPLP_CLASH2,TRIPOS_TORS,ATOMS_OUTSIDE_BINDINGSITE
424102 CHEMBL400553_entry_00001_conf_01,-66.7937,-50.7937,-2.90407,-23.4869,-0.204619,-9.70075,-17.8608,-2.78307,-28.3251,-8.23588,-17.9065,0,0.307516,-0.096566,2,21,0,0,-24.0564,0,3,4,2,1,0,2.51032,0
424102 CHEMBL400553_entry_00001_conf_02,-66.6866,-50.6866,-2.89942,-23.4493,-0.204291,-9.68521,-17.8231,-2.77861,-36.1057,-4,-26.3564,0,0.270055,-0.0931938,3,20,0,0,-19.5381,0,3,4,2,3,1.52784,3.0504,0
424102 CHEMBL400553_entry_00001_conf_03,-65.7342,-49.7342,-2.85801,-23.1144,-0.201373,-9.54688,-17.4882,-2.85801,-25.628,-5,-16.8577,0,0.296806,0,0,22,1,0,-25.6206,0,3,4,2,1,0,2.23406,0
424102 CHEMBL400553_entry_00001_conf_04,-64.4829,-48.4829,-2.8036,-22.6744,-0.19754,-9.36514,-17.0482,-2.68679,-35.2186,-4.9632,-27.672,0,0.286098,-0.0948842,3,20,0,0,-15.2414,0,3,4,1,3,0,2.34576,0
424102 CHEMBL400553_entry_00001_conf_05,-64.4827,-48.4827,-2.8036,-22.6743,-0.197539,-9.36512,-17.0482,-2.68678,-32.3112,-5,-21.9897,0,0.78726,-0.0836199,3,20,0,0,-19.2326,0,3,4,2,3,0,2.8815,0
424102 CHEMBL400553_entry_00001_conf_06,-63.1441,-47.1441,-2.7454,-22.2036,-0.193439,-9.17071,-16.5775,-2.63101,-30.3035,-4,-24.518,0,0.253601,-0.0212295,3,20,0,0,-20.2733,0,3,4,2,3,0.570329,2.70949,0
424102 CHEMBL400553_entry_00001_conf_07,-63.0217,-47.0217,-2.74007,-22.1606,-0.193063,-9.15293,-16.5344,-2.6259,-30.6125,-4,-24.5299,0,0.538084,-0.032682,2,21,0,0,-20.1688,0,3,4,2,3,0,3.3798,0
424102 CHEMBL400553_entry_00001_conf_08,-61.9573,-45.9573,-2.69379,-21.7863,-0.189803,-8.99834,-16.1601,-2.58155,-27.5086,-4.87564,-18.4428,0,0.267503,-0.0266707,1,22,0,0,-20.6243,0,3,4,2,2,0,2.59298,0
424102 CHEMBL400553_entry_00001_conf_09,-61.9556,-45.9556,-2.69372,-21.7857,-0.189798,-8.9981,-16.1596,-2.58148,-28.8003,-4.99419,-19.5395,0,0.151459,-0.00880475,2,21,0,0,-18.8554,0,3,4,2,3,0,2.08514,0
424102 CHEMBL400553_entry_00001_conf_10,-61.466,-45.466,-2.67243,-21.6135,-0.188298,-8.92698,-15.9874,-2.56108,-29.4519,-5.19167,-19.5223,0,0.212119,-0.0411168,1,22,0,0,-18.6391,0,3,4,2,1,0,2.96784,0
424102 CHEMBL400553_entry_00001_conf_11,-61.1676,-45.1676,-2.65946,-21.5086,-0.187383,-8.88364,-15.8824,-2.54865,-28.5615,-4,-27.2693,0,0.315495,-0.0769749,4,19,0,0,-20.0114,0,3,4,2,3,0.09799,2.82515,0
424102 CHEMBL400553_entry_00001_conf_12,-60.672,-44.672,-2.63791,-21.3343,-0.185865,-8.81168,-15.7082,-2.63791,-24.8831,-5,-17.9516,0,0.261628,0,1,21,1,0,-23.3001,0,3,4,2,2,0,2.8593,0
424102 CHEMBL400553_entry_00001_conf_13,-60.6085,-44.6085,-2.63515,-21.312,-0.185671,-8.80245,-15.6859,-2.52536,-23.0932,-6,-15.1661,0,0.175505,-0.0180008,2,21,0,0,-24.1099,0,3,4,2,2,0,2.88015,0
424102 CHEMBL400553_entry_00001_conf_14,-60.1945,-44.1945,-2.61715,-21.1664,-0.184403,-8.74232,-15.5403,-2.73611,-27.2933,-4.91845,-19.7556,0,0.176891,0,1,22,0,0,-17.9424,0,3,4,3,2,0,2.01042,0
424102 CHEMBL400553_entry_00001_conf_15,-59.9672,-43.9672,-2.60727,-21.0865,-0.183706,-8.70931,-15.4604,-2.85558,-24.9345,-5.98826,-15.1481,0,0.192229,-0.062019,1,20,2,0,-21.0287,0,3,4,3,1,0,2.28706,0
424102 CHEMBL400553_entry_00001_conf_16,-59.8393,-43.8393,-2.60171,-21.0415,-0.183314,-8.69073,-15.4154,-2.60171,-21.7455,-7.3803,-11.1539,0,0.23976,-0.0735596,0,22,1,0,-23.0649,0,3,4,2,1,0,1.9343,0
424102 CHEMBL400553_entry_00001_conf_17,-59.7278,-43.7278,-2.59686,-21.0023,-0.182973,-8.67454,-15.3762,-2.48866,-24.1209,-6.50193,-16.8307,0,0.199542,-0.0964448,2,21,0,0,-21.5396,0,3,4,2,2,0,2.7319,0
424102 CHEMBL400553_entry_00001_conf_18,-59.3323,-43.3323,-2.57967,-20.8633,-0.181761,-8.61711,-15.2371,-2.47218,-25.9619,-5.11403,-16.6484,0,0.202477,-0.0353008,2,21,0,0,-20.0513,0,3,4,2,2,0,2.88762,0
