PLANTS_LIGAND_DESCRIPTION,OLD_LIGAND_DESCRIPTION
129821 CHEMBL81286_entry_00001_conf_01,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_02,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_03,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_04,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_05,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_06,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_07,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_08,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_09,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_10,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_11,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_12,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_13,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_14,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_15,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_16,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_17,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_18,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_19,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_20,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_21,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_22,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_23,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_24,129821 CHEMBL81286
129821 CHEMBL81286_entry_00001_conf_25,129821 CHEMBL81286
